Guid,Aid,Rid,Level
00c07b45-566e-4cea-9580-49204884e187,e7239eb5-59bf-4ede-a39c-764741148cb4,082b8bb6-50e0-42ed-9cd7-a5c37a29e645,
00c15849-9fa3-4e53-b8dd-e2a6297ff340,2e503fa8-9dcd-4539-883f-6e5e49228f78,ab3d0e11-f801-4dd7-bf59-8a92e6f34042,
00c4f8c5-8f17-415e-a370-f1a0cda4d1f6,4dc1ef2c-fa3c-41d6-a22a-4ed3662fcd1e,beefc767-fa57-42a5-b2fa-a07e58dade60,
00cb4a24-94ec-4063-b995-17a7e42fb082,5daeb425-845b-4f7c-9b3f-5d980e46181d,02318884-afb7-4a79-8cfa-9768c42f3e56,
00d037fb-e70f-4e7d-8af6-614c6bd90204,3b243673-349d-4573-ba8c-a8d1f94e28fa,fe5abf02-4272-40fd-8b6e-a4e827c7e762,
00d2a7cf-aa59-44e5-95aa-a1ae90e2ec2d,8fbe37b4-5f03-413d-a0d3-2f5f589e2fb6,fd0d9231-ce5e-4c5d-8058-3b5c27db7cb7,
00d32f9e-ecde-4aba-86c3-a4f6a1dd8da2,dfa9cada-be07-43e7-957c-d69c99120354,ddfd568c-7bcb-4180-9b75-a4ffd862ee70,
00d3b74e-8f5b-4257-822f-68335d2b2e02,da100607-5c88-46bc-b431-8e3600a8d84e,26a1c0af-9644-4e29-a955-9839e96b19ed,
00d5df54-533c-4d30-95c8-427ff37e7188,552ae0d1-d17f-4eb8-a481-460796722d87,b931267c-2df5-40ce-a2c7-ecc513ced32b,
00dd3b16-001c-4ce0-b723-bf68bbe19ee6,f0d80c92-8319-43f9-bd8e-8fe8794fab17,8b67ecac-7bf1-4830-9ae4-ccc0900a172e,
00e2173f-a712-43e0-89c6-b36dc3bf2f81,40981a52-0a45-49a5-84c6-c2c21f4bae5c,0e04128e-a6aa-4c84-990f-d1e657e8dd0e,
00e38d42-3894-4fdb-970b-9efa37b7b8ce,44bbc37e-3707-45a6-853c-85e4e1be93ac,307cf94b-9199-4cd5-9a3c-33b61f571649,
00e64f0c-1f4f-4f80-91c3-7e4e4a1d1f12,e88101be-1459-4c12-a377-a07cb80a933c,1a1b2e19-a70e-4a61-8d92-492543be7e82,
00e74baf-4c9d-4e58-9288-dcb75ff69b41,1e316656-05a6-4f16-9a43-ce7a6f000dfd,950d2f72-bf1f-4b79-bce3-d689436629e5,
00ec8315-8818-4163-a649-281f8fbda54b,06a747ff-1e44-44a4-8611-330d7a9ef859,7c541410-eb58-477f-bd58-f76a3cb057d8,
00eeeebf-f057-41d7-a84d-e9cdbe10fb06,51bbc1ae-85cd-4608-ac98-ae27ea459c12,f159cdf7-3253-4aec-91c7-103cd0a0b62d,
00f0b713-cb83-4e00-8e1c-5de9c01c60d4,9d9c28fa-6d76-49ef-b135-4dbc48773e0f,2f20659e-2725-43ec-9581-612efe5051e7,
00f307eb-9453-40d7-9c5a-d9bae05c0af3,e964fb46-7e20-4a20-ab53-12ed51774bd3,1a1b2e19-a70e-4a61-8d92-492543be7e82,
00fb5fc3-0997-4314-8dc1-d91548da9563,5b7d2e1c-7724-4006-b4f4-5e1c42b8775b,8438fd94-6e45-4cc7-8ae5-26951175360a,
00fe8ec8-c2e2-4a59-9226-85cd6e210584,56573c4d-0186-4deb-99ee-6a61bfa30720,02318884-afb7-4a79-8cfa-9768c42f3e56,
0103d846-9004-4b81-84dc-744d165fe70e,72a7a00c-354b-42f7-8599-6841288319ec,cf775e9c-e998-4b1a-a2d4-3f97759c26a9,
01062d83-c617-46fa-bd3c-f188e8bae967,41f0e8cc-5d57-4f52-a275-ac18885e69b5,b2925f2e-32fc-43ad-b971-e1b30a533e27,
010accca-7ef2-4f4d-b31b-1f1db48f8e54,d6421d16-8e09-4b2b-bb08-f61369e1a4cf,08bb580d-c766-4dc3-9fe9-ac9ce2943bbf,
0115d4cf-f62d-45a7-8b06-3903079f6490,2a843586-b5b6-47ef-bc9d-902b9a434652,41d3a7e4-6366-44f1-8e46-ef58fa0c26a0,
0116bf7f-624a-43cd-8cc1-8df0c487d067,9f0bc512-9cff-40c7-8717-7fdca84c8360,0dac1f2d-157c-4e7d-99f8-3eeff1b10813,
011efc88-198e-4c03-a87a-564e6a1e33bd,bb97ec15-6dd1-4f3f-a22f-cc7ea26f4951,eb9e2e1f-f83c-474b-bd90-777fd2e42a97,
012048dd-970b-4e7c-b405-035913476cc2,5d8e7a19-b326-48c8-8a3f-be4a0a1cd9d7,dc5d524e-8197-425f-ae4c-8f1ea83b7913,
0126712d-326e-41ce-9462-820b874b1897,5ad08fff-6789-4384-a0f1-d1feb69d2c6e,98849702-506b-4c48-82ea-742b772383dd,
0127750f-9e25-452a-8a93-0fee56035689,53df2fa5-c684-4e98-be13-cc73f630ce1e,d6310c67-c448-4ea2-a7ea-dfe9805a18a5,
0129863e-ef8a-44c4-a06f-ec22f74582c8,758792fd-e8cf-4333-a2c2-46aed8ac2a5a,b54f25d7-f2c1-4529-82f7-097f45396163,
012c8100-5a28-49f6-8b40-7768cd3a4683,7f6a1f35-872d-464c-91b4-5584fa0e0378,3c3fd212-88d8-4851-8d8d-ddc8ab344a2d,
0130311a-3ebc-4ee7-b092-ef28281c3c69,4e5343e2-51e5-43bd-820e-2ab7c16a754e,e275c8a6-3969-405c-8353-8f7211e6049d,
01311006-af03-4963-968c-2998ed225b62,d4e8179f-acf1-4d5d-acd3-698b43ff3153,e8ff1b3a-4b7e-4ea2-9664-0b07af9dd10d,
0133eedc-5782-4627-bf78-15835ff3c204,7f768b97-c539-44b3-a5bf-9182a7eef9e1,bac8b014-7e30-4994-9dbd-4ee423517257,
